Data Summary ,AUTH,PLUX,INTRA,HUJI,UOXF,AIN,WELLICS,DBC,PSR,FMH,TUM,CERTH
Will you re-use any existing data and what will you re-use it for? State the reasons if re-use of any existing data has been considered but discarded. ,"Yes, for training/validating machine/deep learning algorithms.",,"No. INTRA is not expected to provide, generate, or re-use any datasets for the iPROLESPIS project. INTRA is responsible for the cloud-based data management infrastructure.",No,No,Yes. Retrospective data (e.g. environmental data) will be re-used. The re-use of retrospective weather data was considered but will not be used since there is no connection with electronic health records and the influence of weather conditions to Psoriatic arthritis (PSA) is short-term.,No,No,No,"Yes, for training and/or validating algorithms",No,"Yes, for training the AI recommendation system"
What types and formats of data will the project generate or re-use? ,"Image data captured from smartphone devices in the form of standard multimedia formats, e.g., JPEG, PNG. Typing events data, e.g., key hold time, press latency and release latency timeseries, with and/or without patient status related annotations, e.g., presence of flare, in the form of CSV. Recordings of smartwatch sensors, i.e., accelerometers, gyroscope, heart rate, and beat-to-beat intervals, with and/or without patient status related annotations, e.g., presence of flare and sleep status, in the form of CSV.",.txt,,Experimental data in xlsx format and Image data in Png,"Observation data in the form of CSV, XML",Dataset identification is still ongoing,CSV,Data from the patients and already existed related data,Observation data in the form of CSV or XML,"Data in the form of CSV, XML (questionnaires data), JSON (serious games data)",Imaging data include: 1) raw MSOT (.msot) and US (.us) files 2) reconstructed images as Matlab data (.mat format) and extracted features in .mat format and xlsx format.,The user profile and the meal plans will be stored in csv or excel format
What is the purpose of the data generation or re-use and its relation to the objectives of the project? ,To assess and/or predict inflammatory symptoms. To track sleep in order to provide personalised sleep treatment using binaural beats.,research,,The purpose for data generation is for research: to reveal statistics and biomarkers associated with PsO/PsA,"To make informed decisions, for research",To develop models which will implement core iProlepsis functionalities and understand the long term influence of air pollution to PSA evolution,research,,To make informed decisions for research,To improve and/or sustaining the wellness of persons with PsA and preventing health deterioration; for Research,"The purpose of data generation is for research: to reveal statistics and correlations with the optoacoustic measurements. For the latter, traditional and advanced processing techniques are going to be applied to derive novel imaging-based markers for PsO/PsA detection and progression.",To optimize the AI recommendation model
What is the expected size of the data that you intend to generate or re-use? ,,2.3 MB (approximately) per minute of recording,,Around 50GB,,At GB range. Collection has not been finalized up to date.,it will be in the GB range,"not sure, we collect information regarding the processing operations according to the GDPR in order to assure compliance to the Regulation, the related legislation and any other legal framework related to the project",<10 GB,At the range of 5-10 GB per game session (>1h),Around 10 GB/ participant. An expected number of 300 participants which will lead to around 1 TB.,
"What is the origin/provenance of the data, either generated or re-used? ","Publicly available data repositories, e.g., Physionet.
Data collection clinical trial.",,,Measurements provided by the laboratory,"Patient reported data in questionnaires via website, digital data from app","Clinical trials, wearables, serious game app, questionaires and retrospective pollution data from governmental agencies",data generated from wearables utilized in the studies,Personal data (and information in general) from the partners mostly. We do not interact with the data subjects.,"Patient reported data in questionnaires via website (Reuma.pt), physician reported data via website (Reuma.pt), digital data collected by the iPROLEPSIS app",Data collection from the clinical trials related with questionnaires/surveys and serious games.,Clinical imaging data are generated by the clinic using optoacoustics imaging machines.,"Available data from previous research projects, I.e.,  the dataset from Protein project. Data collection from new users"
"To whom might your data be useful ('data utility'), outside your project? ","researchers, mHealth industry",Researchers,,The data generated in this project will be used for research purposes only and will be presented in publications,"Researchers, Decision makers, Industry","Researchers, Decision makers, Economy, Industry",researchers and industry,"We cannot think of anybody benefiting from our deliverables outside of the project, other than possible authorities investigating the implementation of the GDPR framework.","Researchers, Decision makers, Industry","Researchers, decision makers, patients and healthcare professionals.",The data generated in this project will be used for research purposes only and will be presented in publications,Researchers 
"FAIR data: Making data findable, including provisions for metadata ",,,,,,,,,,,,
Will data be identified by a persistent identifier? ,Yes,,,No,"Yes, by study number (pseudo-anonymised)",Probably yes,As WELLICS we are going to collect data from wearables (used in the project). For this an identifier will be applied in order to link the user with the data collected. We do not aim to use (and store) any other identifiers to that may lead to user identification.,"As far as we are concerned, the data will be pseudonymized for the purposes of the project whenever possible. Anonymization technics may be implemented after the end of the project but we cannot be sure regarding this (hopefully there will be a reference regarding this on the dmp). So, a persistent identifier with access to some additional information, could identify the pseudonymized data.","Yes, the data will be pseudo-anonymised by a persistent data identifier",Yes,No,"Maybe, with data identifiers"
"Will rich metadata be provided to allow discovery? What metadata will be created? What disciplinary or general standards will be followed? In case metadata standards do not exist in your discipline, please outline what type of metadata will be created and how. ","Yes, rich metadata will be provided. The exact type and format will be decided in the future.",,,No,No,,We don’t intend to enrich the raw data with any metadata.,,"Reuma.pt database has been transformed into the OMOP common data model, including the protocol for Psoriatic Arthritis. Rich metadata can be provided for all the variables that underwent the ETL process","Eventually, rich metadata will be provided; however, the type and format data is expected to be decided in the future.",No,"Yes, rich metadata will be provided to facilitate discovery, identification, detailed description of the data produced."
Will search keywords be provided in the metadata to optimize the possibility for discovery and then potential re-use? ,Yes,,,No,,,No,Keywords will be used in our deliverables but they will be mostly related to data protection law,Yes. Search keywords can be provided for all the variables that underwent the ETL process.,Yes,No,Yes
Will metadata be offered in such a way that it can be harvested and indexed?  ,Yes,,,No,No,"Yes, metadata comply with the Open Archives Initiative's Protocol for Metadata Harvesting (OAI-PMH) or metadata are searchable via OpenAIRE catalogue and Zenodo which support web-based search.",No,,"It could potentially be harvested and indexed but that would require extra work from our IT team, in particular for the variables that did not undergo the ETL process.","Yes, metadata comply with the Open Archives Initiative's Protocol for Metadata Harvesting (OAI-PMH) or metadata are searchable via OpenAIRE catalogue and Zenodo which support web-based search.",No,"Yes, metadata comply with the Open Archives Initiative's Protocol for Metadata Harvesting (OAI-PMH) or metadata are searchable via OpenAIRE catalogue and Zenodo which support web-based search."
Making data accessible ,,,,,,,,,,,,
Repository: ,,,,,,,,,,,,
Will the data be deposited in a trusted repository? ,Yes. The repository will be decided in the future.,"Yes, data will be stored in a storage that supports back up, has data security mechanisms in place and follows repository and metadata standards.",The infrastructure that will be used for the data storage and analysis will be hosted by a trusted cloud provider (Hetzner) under a direct contract with INTRA. ,No,"Yes, data will be stored in HPOS system at UOXF that supports back up, has data security mechanisms in place and follows repository and metadata standards",,"The data collected are stored for pre-defined amount of time locally in a smartphone device, and then transferred in a cloud management system used for iPROLEPSIS. On successful transfer completion the data are deleted by the smartphone. The data are also erased if the smartphone application is uninstalled.","Yes, data will be stored in the project server","Yes, data will be stored in Reuma.pt database that supports backups, has data security mechanisms in place and follows repository and metadata standards",Yes. The repository will be decided in the future,"The data will be stored on our own servers and categorized via pseudonymized unique codes for each patient (e.g., PS001). Only the responsible clinician and head of the study (Dr. Angelos Karlas) will have the complete data cryptographically secured.","Yes, data will be stored. The repository will be decided in the future. "
Have you explored appropriate arrangements with the identified repository where your data will be deposited?  ,,Yes,Hetzner offers a Data Processing Protection Agreement that can ensure the GDPR compliance.,The data are only stored in our HUJI servers and not in identified repositories.,"Yes, this is part of UOXF",,,No,"Yes, the repository is part of PSR.",,The data are only stored in our own servers and not in identified repositories,"Yes, the repositories selected by the partners to store the data from the tests at the respective facilities have been chosen so as that they are open, accessible, respect the principles of EOSC and guarantee longevity of the data."
Does the repository ensure that the data is assigned an identifier? Will the repository resolve the identifier to a digital object?  ,,,,,"Yes, irrespective of the data repository, a DOI is issued for each data packet produced",,,,No,,,
Data: ,,,,,,,,,,,,
